metric,count,mean,median,std,min,p10,p25,p75,p90,max,win_rate,tie_rate,loss_rate,mean_ci_low,mean_ci_high,slice_name,slice_value,num_scenes
delta_selected_driving_direction_compliance,2437,0.008617152236356175,0.0,0.15272435622121353,-1.0,0.0,0.0,0.0,0.0,1.0,0.041444398851046366,0.9322938038572015,0.026261797291752154,0.0024569142388182193,0.014361920393926959,map_name,us-pa-pittsburgh-hazelwood,2437
delta_score,543,0.014921550807035023,0.0,0.18628984531534537,-1.0,-0.02812186735194222,-0.009543581019680558,0.007516182019185413,0.03038159278700907,1.0,0.3443830570902394,0.292817679558011,0.36279926335174956,-0.00028714538753471964,0.031332327902037986,maneuver,curved_left,543
delta_oracle_score,543,0.000974239924279557,0.0,0.050593642753650664,-0.41666666666666663,0.0,0.0,0.0,0.0,1.0,0.09208103130755065,0.8692449355432781,0.03867403314917127,-0.0027826712749532143,0.0058269683346521845,maneuver,curved_left,543
delta_ranking_ability,543,0.013947310882755465,0.0,0.1830037925448628,-1.0,-0.030029847416570558,-0.010369117630093495,0.007209138120222745,0.029587319835826166,1.0,0.3462246777163904,0.285451197053407,0.3683241252302026,-0.0014182984105386273,0.029851510246785354,maneuver,curved_left,543
delta_selected_no_at_fault_collisions,543,0.011049723756906077,0.0,0.13538043742224878,-1.0,0.0,0.0,0.0,0.0,1.0,0.014732965009208104,0.9815837937384899,0.003683241252302026,0.0,0.02394106813996317,maneuver,curved_left,543
delta_selected_drivable_area_compliance,543,0.009208103130755065,0.0,0.14216278469132596,-1.0,0.0,0.0,0.0,0.0,1.0,0.014732965009208104,0.9797421731123389,0.0055248618784530384,-0.001841620626151013,0.020303867403314666,maneuver,curved_left,543
delta_selected_ego_progress,543,0.016658867424913505,0.0,0.18220854028009087,-1.0,-0.06466008902938188,-0.019108050191396164,0.017634027581174272,0.07056029098188461,1.0,0.3425414364640884,0.30386740331491713,0.35359116022099446,0.0018054416806386024,0.032026989134827766,maneuver,curved_left,543
delta_selected_time_to_collision_within_bound,543,0.001841620626151013,0.0,0.18722166736110446,-1.0,0.0,0.0,0.0,0.0,1.0,0.01841620626151013,0.9650092081031307,0.016574585635359115,-0.01289134438305709,0.016574585635359115,maneuver,curved_left,543
delta_selected_comfort,543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,maneuver,curved_left,543
delta_selected_driving_direction_compliance,543,0.001841620626151013,0.0,0.13237929389719255,-1.0,0.0,0.0,0.0,0.0,1.0,0.016574585635359115,0.9686924493554327,0.014732965009208104,-0.009208103130755065,0.01289134438305709,maneuver,curved_left,543
delta_score,436,3.916412435427743e-05,0.0,0.21026559128963454,-1.0,-0.02279380982783097,0.0,0.020969569914645853,0.04337449145072869,1.0,0.49311926605504586,0.26605504587155965,0.2408256880733945,-0.01967281805666462,0.01955990221857761,maneuver,curved_right,436
delta_oracle_score,436,-0.0018396004649079375,0.0,0.028903612816968502,-0.5833333333333334,0.0,0.0,0.0,0.0,0.05609465952797221,0.04128440366972477,0.8990825688073395,0.05963302752293578,-0.005035895432665287,-6.268564644810127e-06,maneuver,curved_right,436
delta_ranking_ability,436,0.0018787645892622028,0.0,0.21183118092442826,-1.0,-0.021694215018571397,-0.0,0.0211198070115232,0.04535182237473719,1.0,0.4908256880733945,0.26376146788990823,0.24541284403669725,-0.018752329548376613,0.02058084925967261,maneuver,curved_right,436
delta_selected_no_at_fault_collisions,436,-0.005733944954128441,0.0,0.10970875904233195,-1.0,0.0,0.0,0.0,0.0,1.0,0.0045871559633027525,0.9862385321100917,0.009174311926605505,-0.016055045871559634,0.0034403669724770644,maneuver,curved_right,436
delta_selected_drivable_area_compliance,436,-0.006880733944954129,0.0,0.18556752216683353,-1.0,0.0,0.0,0.0,0.0,1.0,0.013761467889908258,0.9655963302752294,0.020642201834862386,-0.022935779816513763,0.011467889908256881,maneuver,curved_right,436
delta_selected_ego_progress,436,0.00441194112149707,0.0,0.20465429570709168,-1.0,-0.05619586803734189,0.0,0.047311977338113126,0.09566437954710422,1.0,0.48623853211009177,0.268348623853211,0.24541284403669725,-0.014708928961001597,0.02361721975902439,maneuver,curved_right,436
delta_selected_time_to_collision_within_bound,436,0.006880733944954129,0.0,0.15887071153704724,-1.0,0.0,0.0,0.0,0.0,1.0,0.016055045871559634,0.9747706422018348,0.009174311926605505,-0.009174311926605505,0.020642201834862386,maneuver,curved_right,436
delta_selected_comfort,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,maneuver,curved_right,436
delta_selected_driving_direction_compliance,436,-0.0011467889908256881,0.0,0.08642885062032687,-1.0,0.0,0.0,0.0,0.0,1.0,0.006880733944954129,0.9839449541284404,0.009174311926605505,-0.009174311926605505,0.006880733944954129,maneuver,curved_right,436
delta_score,2134,-0.004495354376179357,0.0,0.15770911393617307,-1.0,-0.035938122064458455,-0.009769063181338439,0.0036800371457601233,0.027457191193939384,1.0,0.28444236176194937,0.3725398313027179,0.3430178069353327,-0.011218277173668871,0.0022413914888253605,maneuver,left,2134
delta_oracle_score,2134,-0.0027914605484801592,0.0,0.048535256484868804,-1.0,0.0,0.0,0.0,0.0,0.16666666666666663,0.04311152764761012,0.9123711340206185,0.04451733833177132,-0.0050146516191249815,-0.0009748792944298585,maneuver,left,2134
delta_ranking_ability,2134,-0.0017038938276992001,0.0,0.156267418213806,-1.0,-0.03571232562098139,-0.009456877165111531,0.004034579030923095,0.02925291615746658,1.0,0.2881911902530459,0.36785379568884724,0.34395501405810686,-0.008154730146013887,0.004643574734108037,maneuver,left,2134
delta_selected_no_at_fault_collisions,2134,0.002577319587628866,0.0,0.09246285031491407,-1.0,0.0,0.0,0.0,0.0,1.0,0.005623242736644799,0.9910965323336457,0.0032802249297094657,-0.0011715089034676663,0.006560449859418931,maneuver,left,2134
delta_selected_drivable_area_compliance,2134,-0.0023430178069353325,0.0,0.13168510955410723,-1.0,0.0,0.0,0.0,0.0,1.0,0.007497656982193065,0.9826616682286785,0.009840674789128397,-0.007966260543580132,0.0032802249297094657,maneuver,left,2134
delta_selected_ego_progress,2134,-0.002375448492991129,0.0,0.15857058696171789,-1.0,-0.07931499327723682,-0.020476831405723817,0.008660996929027748,0.06509309652893264,1.0,0.28350515463917525,0.3809746954076851,0.33552014995313967,-0.009016491223465447,0.0045699823057854866,maneuver,left,2134
